Segments
100
,,Teniska_loptica:Sfera,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
287,,,,,,,
288,,,,,,,
289,,,,,,,
290,,,,,,,
291,,,,,,,
292,,,,,,,
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,0,98.865,6.29527,107.188,-125.452,2385.3,620.489
311,0,95.8382,8.93852,105.425,-124.077,2340.35,615.831
312,0,91.6953,13.2006,103.442,-122.696,2294.93,612.995
313,0,88.7651,15.6756,101.631,-121.447,2246.14,614.089
314,0,84.9237,18.9969,98.9418,-119.72,2196.25,618.008
315,0,81.7745,22.2198,96.6496,-118.131,2145.23,625.627
316,0,78.2869,26.6748,94.3722,-116.702,2094.04,636.665
317,0,66.2005,40.2365,80.5148,-116.67,2035.1,645.702
318,0,72.5995,30.5658,88.773,-112.511,1990.63,671.612
319,0,71.1304,32.3,88.6091,-110.362,1941.77,696.047
320,0,66.0265,44.0401,92.6428,-111.512,1895.9,723.291
321,0,62.5685,51.6065,92.4068,-112.617,1853.02,749.997
322,0,61.4187,58.1185,95.9825,-114.578,1808.03,784.307
323,0,61.0981,57.9795,96.1404,-112.735,1763.75,820.917
324,0,60.448,62.4901,80.0682,-109.341,1707.78,853.794
325,0,70.2299,52.5691,98.5876,-108.727,1678.37,901.409
326,0,73.6807,49.6273,107.347,-109.897,1642.34,945.927
327,0,78.1421,47.1775,111.827,-108.899,1602.04,987.671
328,0,83.2208,40.8388,115.235,-107.239,1561.54,1028.97
329,0,87.9258,35.843,119.635,-105.979,1521.06,1069.49
330,0,91.1415,38.2885,117.784,-104.982,1480.16,1101.21
331,0,96.6683,24.6507,127.662,-103.447,1438.93,1146.32
332,0,100.958,18.8222,131.285,-102.043,1397.57,1182.77
333,0,105.247,12.6362,134.747,-100.536,1356,1217.96
334,0,108.673,16.5949,132.92,-99.3006,1317.29,1244.97
335,0,113.343,-1.24433,141.078,-97.372,1271.95,1284.78
336,0,117.159,-8.95327,144.015,-95.8572,1229.49,1316.29
337,0,119.96,-6.14104,143.696,-94.8484,1191.03,1341.91
338,0,124.334,-24.7539,148.556,-92.2248,1144.69,1375.21
339,0,126.868,-23.0284,148.918,-91.3398,1105.92,1399.32
340,0,130.557,-42.691,151.547,-88.4263,1059.77,1428.49
341,0,133.751,-52.4466,152.234,-86.3727,1017.87,1453.32
342,0,136.304,-62.2021,152.766,-84.2408,975.637,1476.57
343,0,137.777,-72.8978,152.609,-82.3888,933.315,1498.48
344,0,139.328,-83.905,152.079,-80.5001,890.677,1518.62
345,0,140.76,-95.0779,150.594,-78.4187,849.022,1537.81
346,0,141.928,-106.276,148.476,-76.3885,807.748,1555.63
347,0,141.659,-118.378,145.539,-74.4508,766.402,1572.22
348,0,141.566,-130.203,142.176,-72.3112,725.508,1588.02
349,0,140.392,-143.275,137.389,-70.0961,684.91,1602.26
350,0,138.162,-156.732,131.83,-68.0287,644.662,1615.14
351,0,135.481,-169.952,124.898,-65.7944,604.763,1627.01
352,0,130.958,-183.357,117.184,-63.8903,565.132,1637.89
353,0,126.559,-196.33,107.65,-61.7839,526.19,1647.68
354,0,120.309,-208.412,97.6308,-59.7301,487.21,1656.39
355,0,113.842,-220.496,85.4327,-57.9111,448.844,1664.18
356,0,104.832,-231.782,72.3265,-56.0698,410.993,1670.82
357,0,95.3599,-241.872,58.3671,-54.2494,373.368,1676.7
358,0,83.1226,-251.032,43.1833,-52.5977,335.91,1681.64
359,0,72.0325,-258.304,26.348,-50.7538,299.252,1686.04
360,0,59.067,-263.681,9.32887,-49.1755,262.698,1689.58
361,0,45.1364,-266.965,-8.1324,-47.7183,226.344,1692.24
