S1 X osa,S2 X osa,S3 X osa,S4 X osa,S5 X osa,S6 X osa,Average,S1 Y osa,S2 Y osa,S3 Y osa,S4 Y osa,S5 Y osa,S6 Y osa,Average,S1 Z osa,S2 Z osa,S3 Z osa,S4 Z osa,S5 Z osa,S6 Z osa,Average
0,-49.051506,-2.567611,-18.292785,28.014935,84.903954,7.167831167,0,-6.840332,-53.932129,-15.226807,-9.394531,-2202.09375,-381.2479248,0,-37.087341,-29.652222,-76.010437,-53.123291,-692.236267,-148.0182597
-0.336296,-49.256111,-3.500862,-18.6082,27.677105,84.903954,6.813265,-22.518799,-30.416504,-77.553711,-41.327393,-34.744873,-2202.09375,-401.442505,6.761047,-30.091736,-20.377319,-68.140442,-45.264343,-692.236267,-141.5581767
-0.635498,-49.532356,-4.11306,-18.647323,27.627953,84.903954,6.600611667,-46.592773,-55.421631,-101.376221,-68.376953,-61.254395,-2202.09375,-422.5192872,14.802857,-21.901367,-9.922668,-59.051636,-36.047241,-692.236267,-134.059387
-1.068077,-48.080452,-4.72068,-18.564781,27.745549,84.903954,6.7025855,-72.380371,-76.355713,-128.912598,-97.372803,-88.807373,-2202.09375,-444.3204347,24.660523,-14.20105,3.039307,-48.313843,-25.508118,-692.236267,-125.4265747
-1.284439,-48.004768,-5.351493,-18.23381,27.649502,84.903954,6.613157667,-98.899658,-104.429687,-156.484009,-127.779541,-118.264648,-2202.09375,-467.9918822,35.883972,-2.845337,16.975586,-35.64563,-12.778564,-692.236267,-115.1077067
-1.391815,-48.041526,-5.428321,-18.126853,27.833241,84.903954,6.62478,-126.434082,-135.160156,-184.866821,-159.785889,-148.470459,-2202.09375,-492.8018595,48.938355,10.940857,32.987366,-20.889709,1.381897,-692.236267,-103.1462502
-1.470993,-48.099372,-5.606735,-18.007156,27.926747,84.903954,6.607740833,-155.447876,-166.061035,-214.517822,-192.622314,-179.93042,-2202.09375,-518.4455362,64.133545,26.689636,51.679993,-3.986755,17.749451,-692.236267,-89.3283995
-1.416229,-48.052207,-6.281662,-18.032447,27.913411,84.903954,6.505803333,-184.665405,-198.399658,-245.959351,-226.61145,-212.465454,-2202.09375,-545.0325113,81.184631,44.800049,72.850342,15.449829,36.603027,-692.236267,-73.55806483
-1.476074,-48.279945,-6.92176,-18.264518,27.756638,84.903954,6.2863825,-215.772705,-231.764893,-276.214844,-261.986572,-246.184082,-2202.09375,-572.336141,100.909302,65.607849,95.598084,37.771668,58.145874,-692.236267,-55.70058167
-1.321487,-50.29673,-7.352432,-18.81208,27.37558,84.903954,5.7494675,-247.204834,-271.145996,-305.439453,-297.66748,-281.30603,-2202.09375,-600.8095905,123.063599,90.631165,120.878906,62.619385,82.435303,-692.236267,-35.4346515
-1.611648,-50.168663,-8.29161,-19.363349,27.05283,84.903954,5.420252333,-279.85437,-304.025269,-338.270752,-334.800903,-316.782471,-2202.09375,-629.3045858,147.770386,116.183899,149.645508,90.599243,109.561707,-692.236267,-13.079254
-2.662353,-50.817482,-9.536216,-19.706169,26.597352,84.903954,4.796514333,-313.34021,-339.553955,-372.154907,-371.066284,-352.432129,-2202.09375,-658.4402058,175.998108,144.309876,180.740051,120.556519,140.204834,-692.236267,11.59552017
-4.281456,-51.432197,-10.918426,-19.568939,26.123036,84.903954,4.137662,-348.185547,-375.71875,-407.729736,-407.832031,-388.476685,-2202.09375,-688.3394165,208.043457,175.72052,214.201294,153.556641,174.112488,-692.236267,38.89968883
-5.208381,-52.705345,-11.833618,-19.16027,25.670128,84.903954,3.611078,-384.756958,-415.865601,-444.431519,-443.379639,-423.228027,-2202.09375,-718.959249,244.110413,212.285706,248.518799,188.812805,210.042358,-692.236267,68.588969
-6.678688,-52.79261,-13.112472,-19.431648,24.982029,84.903954,2.9784275,-422.155273,-446.207031,-481.870361,-475.503174,-457.609985,-2202.09375,-747.5732623,284.671387,248.396912,283.605774,224.533386,247.945923,-692.236267,99.48618583
-8.103042,-53.913139,-14.320632,-20.071334,25.148282,84.903954,2.274014833,-460.911621,-479.556641,-519.581177,-505.308228,-493.48584,-2202.09375,-776.8228762,327.387817,287.576721,318.369812,261.139526,286.911072,-692.236267,131.5247802
-9.153045,-55.99131,-15.458419,-20.84906,24.05552,-10.891593,-14.71465117,-500.515259,-511.574341,-557.255859,-533.397827,-526.286987,-488.149658,-519.5299885,370.086975,328.367004,351.701721,297.84436,325.253174,316.002991,331.5427042
-10.405723,-56.128562,-16.656417,-21.376464,23.129544,-12.809722,-15.70789067,-540.841675,-545.073242,-594.224365,-564.619751,-559.005859,-517.892822,-553.609619,410.90094,368.042786,383.719788,335.662781,362.906189,359.31134,370.0906373
-11.659423,-57.23101,-17.822425,-21.662056,22.109669,-13.637451,-16.65044933,-581.192871,-578.879517,-630.441772,-588.931763,-591.622314,-549.950439,-586.836446,449.803894,405.89325,414.506409,369.450867,399.719177,402.346375,406.9533287
-12.921333,-58.047294,-18.685653,-22.867591,21.140156,-15.209983,-17.765283,-621.863281,-612.788818,-665.379639,-616.450928,-624.166626,-582.168335,-620.4696045,487.034241,443.332581,443.694519,405.910828,435.972351,445.659973,443.6007488
-14.277168,-58.998954,-19.677322,-23.563346,20.116585,-15.563919,-18.66068733,-662.497437,-646.706909,-699.956055,-645.016479,-656.81958,-617.175171,-654.6952718,521.948059,479.854309,471.988953,442.567444,471.379944,486.690857,479.0715943
-15.653038,-60.105766,-20.730438,-24.167549,19.187088,-16.558204,-19.67131783,-702.935791,-680.909302,-733.244995,-673.236816,-689.573975,-652.502197,-688.733846,554.680237,515.375794,499.370545,479.852356,505.9422,527.335632,513.7594607
-17.100318,-61.231193,-22.380065,-24.685051,18.232338,-17.950202,-20.85241517,-743.113159,-714.832642,-762.412964,-701.775269,-722.478271,-688.257446,-722.1449585,585.315003,549.99884,526.647034,516.792297,539.790222,566.947937,547.5818888
-18.456306,-62.261329,-23.321929,-25.39627,17.328949,-20.061325,-22.028035,-782.619263,-749.154297,-792.32666,-730.912476,-755.659058,-724.689087,-755.8934735,614.030212,583.535339,553.542786,552.942444,572.828064,605.625549,580.417399
-19.724006,-63.260261,-24.27095,-26.090545,16.353196,-20.27378,-22.87772433,-821.678101,-783.579102,-821.01416,-760.575806,-788.885376,-763.768311,-789.9168093,640.688171,615.992004,580.164124,588.68927,605.055969,640.2995,611.8148397
-21.062637,-64.203941,-25.049301,-26.762069,15.34948,-21.265495,-23.83232717,-860.146484,-818.173828,-849.610107,-790.947754,-822.128784,-803.561035,-824.0946653,665.735169,647.2901,606.897644,624.159363,636.429016,674.196228,642.4512533
-22.366874,-65.050651,-26.378349,-27.415893,14.656876,-22.442382,-24.83287883,-897.962524,-853.228638,-875.184082,-822.269165,-854.283936,-843.652954,-857.7635498,689.243958,677.320374,631.996155,659.154114,666.933289,706.435242,671.8471887
-23.673416,-66.089607,-26.043747,84.903954,13.985085,84.903954,11.33103717,-935.079468,-888.075073,-904.189575,-2202.09375,-888.643555,-2202.09375,-1336.695862,711.322937,706.339172,658.435486,-692.236267,696.544495,-692.236267,231.3615927
-24.857383,-67.107215,-26.595245,-29.191597,12.943978,-24.978889,-26.6310585,-970.891968,-923.101318,-931.930908,-888.143799,-922.702026,-924.269897,-926.839986,731.88324,734.096619,684.775696,726.890442,724.938538,765.006897,727.9319053
-26.278801,-68.121147,-27.399826,84.903954,11.617928,84.903954,9.937677,-1006.283569,-958.13501,-959.077393,-2202.09375,-957.544922,-2202.09375,-1380.871399,751.232849,760.65509,710.649963,-692.236267,752.069153,-692.236267,265.0224202
-27.587295,-69.192802,-27.974128,-30.67939,10.670784,-27.436439,-28.69987833,-1040.955933,-993.098022,-987.079224,-959.168579,-991.947876,-1004.224365,-996.0789998,769.406555,786.017273,736.630676,790.820374,778.331238,815.655457,779.4769288
-28.753997,-70.177238,-28.337532,-33.084106,9.673912,-28.743309,-29.90371167,-1071.458008,-1028.1604,-1015.397827,-997.076782,-1027.539795,-1043.845703,-1030.579753,787.142761,810.061951,762.227722,823.737122,803.39093,837.805847,804.0610555
-29.904281,-71.123481,-28.668281,-32.952865,8.840569,-30.119216,-30.6545925,-1102.668091,-1063.131226,-1042.98584,-1033.288086,-1061.487915,-1083.25061,-1064.468628,803.686829,832.958801,789.101746,849.507263,827.536072,857.864441,826.7758587
-30.85868,-72.111579,-29.348503,-33.938415,7.970246,-31.306152,-31.59884717,-1132.834351,-1098.168701,-1071.280151,-1070.931274,-1095.842285,-1122.41394,-1098.57845,820.154724,854.640564,814.755921,875.195496,850.30304,875.984802,848.5057578
-31.885032,-73.101585,-29.885093,-33.944847,7.350739,-32.60366,-32.344913,-1161.974731,-1133.002441,-1100.137817,-1111.197388,-1129.996094,-1160.892822,-1132.866882,836.108582,875.214783,840.049866,899.742737,872.161194,892.783875,869.3435062
-33.280555,-74.272453,-30.345153,-34.996482,6.407822,-33.889373,-33.39603233,-1189.876465,-1167.757812,-1129.605469,-1150.658447,-1165.033081,-1198.851379,-1166.963776,851.046326,894.9245,865.078796,922.732849,892.371155,907.760559,888.9856975
